modality,validation,analysis,arm,model,n,n_positive,n_negative,auc,ci95_low,ci95_high,n_bootstrap,source_prediction_file,source_results_file
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,LR,46,23,23,0.46502835538752363,0.29713394544963545,0.6427293330894159,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,XGB,46,23,23,0.2844990548204159,0.14583333333333334,0.4419047619047619,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__XGB__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,MLP,46,23,23,0.5274102079395084,0.3523809523809524,0.7047619047619048,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__MLP__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,LR,46,23,23,0.6162570888468809,0.4498959402286435,0.7752380952380953,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,XGB,46,23,23,0.5897920604914935,0.41911728872835685,0.7548477041283004,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__XGB__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,MLP,46,23,23,0.6483931947069943,0.47619047619047616,0.8068181818181818,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__MLP__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",FK,LR,46,23,23,0.6162570888468809,0.4498959402286435,0.7752380952380953,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",FK,XGB,46,23,23,0.5897920604914935,0.41911728872835685,0.7548477041283004,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__XGB__A-FK__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",FK,MLP,46,23,23,0.6483931947069943,0.47619047619047616,0.8068181818181818,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__MLP__A-FK__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/external_validation_summary_all.csv
MRI,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,LR,63,30,33,0.41919191919191917,0.27775205761316873,0.5656565656565656,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/MRI_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/MRI_MLP_common_neutral/external_validation_summary_all.csv
