relative_path	size_bytes	sha256	category	provenance_original_path	purpose
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__MLP__A-FK__B-OFF__N-OFF__C-OFF.json	985	8afd018203055a8797bb2adf01937ee2498f56795ffb155f0be83b84ae98d7cc	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__MLP__A-FK__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__MLP__A-NR__B-OFF__N-OFF__C-OFF.json	984	65b1394eae3a5ae92cfe26e2a991b54134b23f046f06aa1bb4a160bec8effbbf	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__MLP__A-NR__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__MLP__A-RS__B-OFF__N-OFF__C-OFF.json	970	fd2541777b508a06140f575aa488a909196a94e1881c4fc74ac8b07e20f087bf	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__MLP__A-RS__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__MLP__A-VS__B-OFF__N-OFF__C-OFF.json	984	0561c2aa8d4fd11364356c923fbb33967ce957efdeafe9ae68c80a857fe9fe89	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__MLP__A-VS__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__XGB__A-FK__B-OFF__N-OFF__C-OFF.json	984	75118699ba3099ab7157a72af4b7d91ce2a0a45d19cf011a7ab308505551418c	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__XGB__A-FK__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__XGB__A-NR__B-OFF__N-OFF__C-OFF.json	984	a1d6c0137a81e713be774f7d3db1d6a6e030825ba3e707e91c163409c078a337	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__XGB__A-NR__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__XGB__A-RS__B-OFF__N-OFF__C-OFF.json	974	e3f8e9fbd7f0cc905be75c7cec862d1f0a0666340a7053e142063218f43563a3	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__XGB__A-RS__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__XGB__A-VS__B-OFF__N-OFF__C-OFF.json	982	a73ecc775f864a50f256b50618593e1f59984d289b9bbca8fa85c2fb99786ac2	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_metrics__bundle__XGB__A-VS__B-OFF__N-OFF__C-OFF.json	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.csv	2796	fde671e256119d67938801ef7a48323884b24759b797e7071a74d3393e630287	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.csv	Final CT external prediction/metric output
results/reference_outputs/external_validation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.csv	2796	65e18251d07a85f43016c6b68fa598c239412450a8691b5162b3335eced1daa9	reference_output	<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/extvalidation/CT_MLP_common_neutral/CT_axisA_common_neutral_mlp/external_predictions__bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.csv	Final CT external prediction/metric output
